,,,,,,,,,
,Pritchard - 3,Tiger Woods,Jason Day,Rory McIlroy,Tony Finau,Patrick Cantlay,Russell Henley,Ian Poulter,Matt Kuchar
,Carter's Picks,Jordan Spieth,Justin Thomas,Dustin Johnson,Xander Schauffele,Patrick Reed,Charley Hoffman,Matt Kuchar,Pat Perez
,Spankin whitey,Jordan Spieth,Justin Thomas,Tiger Woods,Tony Finau,Patrick Cantlay,Charley Hoffman,Adam Scott,Matt Kuchar
,Oxteam 1,Xander Schauffele,Justin Rose,Rickie Fowler,Phil Mickelson,Daniel Berger,Charley Hoffman,Patrick Cantlay,Ian Poulter
,Hideki Matsui,Hideki Matsuyama,Rickie Fowler,Dustin Johnson,Patton Kizzire,Zach Johnson,Tyrrell Hatton,Marc Leishman,Adam Scott
,Oxteam 2,Tony Finau,Bubba Watson,Jason Day,Justin Thomas,Matt Kuchar,Marc Leishman,Thomas Pieters,Pat Perez
,"Beer, Wings, and Swings",Bubba Watson,Henrik Stenson,Jordan Spieth,Matt Kuchar,Louis Oosthuizen,Tyrrell Hatton,Patrick Reed,Matt Parziale
,Poulter-guess,Bubba Watson,Justin Thomas,Tiger Woods,Patrick Reed,Matt Kuchar,Thomas Pieters,Brian Harman,Xander Schauffele
,Bagger Vance,Tony Finau,Tiger Woods,Justin Thomas,Bubba Watson,Matt Kuchar,Rafael Cabrera Bello,Zach Johnson,Ian Poulter
,Lafferty Daniel ,Rickie Fowler,Kevin Chappell,Henrik Stenson,Justin Rose,Francesco Molinari,Marc Leishman,Louis Oosthuizen,Tony Finau
,Hooper,Dustin Johnson,Bubba Watson,Rory McIlroy,Tony Finau,Matt Kuchar,Charl Schwartzel,Ian Poulter,Rafael Cabrera Bello
,Phil Mickle's Son,Tiger Woods,Bubba Watson,Jordan Spieth,Pat Perez,Matt Kuchar,Zach Johnson,Brian Harman,Patton Kizzire
,chunky soup all stars,Sergio Garcia,Tiger Woods,Jason Day,Ross Fisher,Fred Couples,Adam Scott,Tony Finau,Louis Oosthuizen
,Augusters,Patton Kizzire,Matt Kuchar,Tiger Woods,Jason Day,Bubba Watson,Patrick Reed,Ian Poulter,Bryson DeChambeau
,O’Shanahan’s Pub and Grill,Phil Mickelson,Doc Redman,Francesco Molinari,Bryson DeChambeau,Harry Ellis,Jason Dufner,Rickie Fowler,Jordan Spieth
,NicksPicks ,Rickie Fowler,Phil Mickelson,Rory McIlroy,Tony Finau,Ryan Moore,Patrick Cantlay,Adam Scott,Daniel Berger
,Jammy,Justin Rose,Bubba Watson,Dustin Johnson,Brian Harman,Charley Hoffman,Tony Finau,Patrick Reed,Matt Kuchar
,Tiger's Smashpad,Xander Schauffele,Justin Rose,Jordan Spieth,Tiger Woods,Matt Kuchar,Thomas Pieters,Charl Schwartzel,Adam Scott
,BCWhite,Jon Rahm,Paul Casey,Tony Finau,Hideki Matsuyama,Matt Kuchar,Tyrrell Hatton,Marc Leishman,Bryson DeChambeau
,Team Doyle1,Justin Thomas,Phil Mickelson,Alex Noren,Matt Kuchar,Webb Simpson,Matthew Fitzpatrick,Adam Hadwin,Tony Finau
,Bryne Sampson,Justin Rose,Justin Thomas,Bubba Watson,Bryson DeChambeau,Joaquin Niemann,Patrick Reed,Matt Kuchar,Kevin Chappell
,Andrew Russell's Team of Golfers,Justin Thomas,Dustin Johnson,Justin Rose,Jimmy Walker,Louis Oosthuizen,Marc Leishman,Branden Grace,Xander Schauffele
,Bobby Anderson,Phil Mickelson,Justin Thomas,Jon Rahm,Jimmy Walker,Tony Finau,Kevin Kisner,Patrick Reed,Thomas Pieters
,ZachRemsen1,Bubba Watson,Dustin Johnson,Phil Mickelson,Daniel Berger,Adam Hadwin,Xander Schauffele,Patrick Cantlay,Pat Perez
